rep11,rep12,rep13,rep14,rep15,rep16,rep17,rep18,rep19,rep110,rep111,rep112,rep113,rep114,rep115,rep116,rep117,rep118,rep119,rep120,rep121,rep122,rep123,rep124,rep125,rep126,rep127,rep128,rep129,rep130,rep131,rep132,rep133,rep134,rep135,rep136
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
